,t_set,f_occ,t_i,V_g,t_e,leave,leave_fwb,t_set_default,f_occ_pred,t_e_air,hhv,gamma_s_deg,h_s_deg,theta_z_deg,I_th,I_bh,t_e_we
2022-11-01 10:00:00,12.0,0.0,20.132,0.0,26.449,1.0,1,12.0,0,15.266344507241053,11.597859933333336,-21.171831623442607,21.79915923004026,68.20084076995974,336.49777777777774,258.43555555555554,14.011010000000027
2022-11-01 10:15:00,12.0,0.0,20.149,0.0,26.086,1.0,1,12.0,0,15.456030418807169,11.597859933333336,-17.35556311069924,22.580800998659345,67.41919900134066,350.26666666666665,269.55555555555554,14.228175000000036
2022-11-01 10:30:00,12.0,0.0,20.149,0.0,26.032,1.0,1,12.0,0,15.64921692194902,11.597859933333336,-13.486943713283406,23.210179633395786,66.78982036660422,364.0355555555556,280.67555555555555,14.445340000000044
2022-11-01 10:45:00,12.0,0.0,20.148,0.0,25.537,1.0,1,12.0,0,15.842977021131448,11.597859933333336,-9.576069134160988,23.68252913215109,66.31747086784891,363.8444444444444,277.48,14.658105000000036
2022-11-01 11:00:00,12.0,0.0,20.148,0.0,26.144,1.0,1,12.0,0,16.037586126122687,11.597859933333336,-5.634377343426188,23.99415814514363,66.00584185485637,363.6533333333333,274.28444444444443,14.870870000000023
2022-11-01 11:15:00,12.0,0.0,20.114,0.0,25.41,1.0,1,12.0,0,16.232864195875916,11.597859933333336,-1.674323572401267,24.142574273940653,65.85742572605935,363.46222222222224,271.08888888888885,15.083635000000015
2022-11-01 11:30:00,12.0,0.0,20.114,0.0,24.556,1.0,1,12.0,0,16.431302866778548,11.597859933333336,2.2910142540498653,24.12657153152896,65.87342846847105,363.2711111111111,267.8933333333333,15.296400000000006
2022-11-01 11:45:00,12.0,0.0,20.081,0.0,22.85,1.0,1,12.0,0,16.52078688066543,11.597859933333336,6.248374518939389,23.94627363221917,66.05372636778083,349.44,253.5555555555556,15.351425000000006
2022-11-01 12:00:00,12.0,0.0,20.047,0.0,20.347,1.0,1,12.0,0,16.610206478054646,11.597859933333336,10.184764267063908,23.60312936385941,66.39687063614059,335.6088888888889,239.21777777777777,15.406450000000008
2022-11-01 12:15:00,12.0,0.0,20.046,0.0,19.123,1.0,1,12.0,0,16.698863811522834,11.597859933333336,14.087891995876433,23.099860444156747,66.90013955584325,321.77777777777777,224.88,15.461475000000007
